,销售规模（对数）,销项开票数量（对数）,平均销项开票金额（对数）,进购规模（对数）,进项开票数量（对数）,税价比,发票平均税率,下游客户数量,固定周期下游客户数量,指定周期负数发票金额比率,指定周期作废发票金额比率,销方基尼系数,销方HIHI指数,信誉评级,是否违约,企业代号
0,5,5,5,3,5,5,5,5,5,1,1,1,5,5,5,E1
1,5,3,5,1,5,2,2,3,3,4,1,3,4,5,5,E2
2,1,1,1,2,5,2,2,2,2,1,1,5,1,2,5,E3
3,1,1,2,2,5,5,5,1,1,4,1,5,1,2,5,E4
4,1,2,1,4,5,5,5,4,4,1,1,4,2,4,5,E5
5,2,1,3,1,5,3,3,2,2,3,1,5,1,5,5,E6
6,1,1,2,3,5,2,2,1,1,1,1,5,1,5,5,E7
7,1,2,1,3,5,2,2,4,4,1,1,4,2,5,5,E8
8,1,2,1,2,5,2,2,4,4,1,1,4,2,5,5,E9
9,1,1,2,3,5,3,3,1,1,4,1,5,1,4,5,E10
10,1,1,1,2,5,2,2,2,2,4,1,5,1,2,5,E11
11,1,1,3,4,5,2,2,2,2,4,1,5,1,4,5,E12
12,5,4,5,1,5,3,3,3,3,4,1,2,3,5,5,E13
13,1,1,1,3,5,2,2,3,3,4,1,5,1,2,5,E14
14,1,2,1,4,5,5,5,1,1,1,1,4,1,5,5,E15
15,1,1,4,4,5,5,5,1,1,1,1,5,1,5,5,E16
16,1,1,1,3,5,5,5,1,1,4,1,5,1,5,5,E17
17,1,1,1,1,5,2,2,2,2,2,1,5,2,5,5,E18
18,1,1,2,3,5,2,2,1,1,4,1,5,1,5,5,E19
19,1,1,1,2,5,2,2,2,2,4,1,5,1,4,5,E20
20,1,1,2,4,5,1,1,1,1,4,1,5,1,4,5,E21
21,1,2,1,3,5,2,2,4,4,4,1,4,1,5,5,E22
22,1,1,1,1,5,2,2,2,2,4,1,5,1,4,5,E23
23,5,3,5,1,5,3,3,1,1,4,1,3,3,5,5,E24
24,1,1,1,2,5,2,2,3,3,4,1,5,1,2,5,E25
25,1,2,1,2,5,4,4,4,4,4,1,4,2,5,5,E26
26,1,2,1,3,5,2,2,4,4,2,1,4,1,5,5,E27
27,1,1,1,3,5,4,4,1,1,4,1,5,1,4,5,E28
28,5,5,3,3,5,4,4,5,5,2,1,1,3,2,1,E29
29,5,5,4,4,5,5,5,5,5,3,1,1,3,4,5,E30
30,5,5,5,2,5,2,2,1,1,4,1,1,5,5,5,E31
31,5,3,5,2,5,1,1,3,3,4,1,3,3,4,5,E32
32,5,4,5,1,5,3,3,5,5,2,1,2,3,4,5,E33
33,5,3,5,1,5,2,2,3,3,3,1,3,3,4,5,E34
34,5,5,4,4,5,5,5,5,5,2,1,1,5,4,5,E35
35,5,5,3,1,5,3,3,5,5,1,1,1,5,1,1,E36
36,5,4,5,5,5,5,5,3,3,4,1,2,3,4,5,E37
37,5,5,4,4,5,3,3,5,5,1,1,1,5,4,5,E38
38,5,5,4,5,5,4,4,3,3,3,1,1,5,2,5,E39
39,5,5,3,1,5,5,5,4,4,3,1,1,5,2,5,E40
40,5,5,5,4,5,4,4,3,3,2,1,1,5,2,5,E41
41,4,4,3,2,5,5,5,5,5,3,1,2,1,5,5,E42
42,4,3,4,5,5,5,5,3,3,4,1,3,4,4,5,E43
43,4,5,3,2,5,4,4,5,5,3,1,1,4,2,5,E44
44,4,3,5,2,5,3,3,1,1,4,1,3,3,4,1,E45
45,4,3,5,4,5,2,2,1,1,4,1,3,4,2,5,E46
46,5,5,3,2,5,5,5,4,4,1,1,1,5,2,5,E47
47,4,4,5,1,5,3,3,1,1,4,1,2,5,5,5,E48
48,4,5,2,1,5,4,4,5,5,4,1,1,5,2,5,E49
49,4,3,4,3,5,2,2,2,2,3,1,3,5,2,5,E50
50,4,4,4,5,5,3,3,4,4,2,1,2,5,4,5,E51
51,5,4,5,1,5,3,3,4,4,4,1,2,2,1,1,E52
52,4,4,3,5,5,4,4,3,3,4,1,2,4,2,5,E53
53,4,5,3,2,5,4,4,5,5,2,1,1,4,5,5,E54
54,4,4,3,3,5,4,4,5,5,3,1,2,4,2,5,E55
55,4,4,5,1,5,2,2,1,1,3,1,2,5,2,5,E56
56,3,2,5,3,5,4,4,1,1,3,1,4,2,4,5,E57
57,5,5,5,2,5,5,5,3,3,4,1,1,5,4,5,E58
58,4,4,3,1,5,1,1,5,5,1,1,2,4,5,5,E59
59,4,4,4,5,5,1,1,2,2,1,1,2,4,4,5,E60
60,3,3,5,3,5,1,1,3,3,2,1,3,4,4,5,E61
61,3,2,5,3,5,3,3,1,1,2,1,4,3,4,5,E62
62,4,5,2,5,5,4,4,3,3,2,1,1,4,4,5,E63
63,3,3,4,3,5,4,4,4,4,2,1,3,3,5,5,E64
64,4,4,4,2,5,3,3,4,4,1,1,2,5,4,5,E65
65,4,5,2,5,5,5,5,5,5,3,1,1,5,4,5,E66
66,4,4,3,4,5,4,4,4,4,4,1,2,5,4,5,E67
67,4,3,4,2,5,3,3,5,5,2,1,3,4,2,5,E68
68,5,4,5,1,5,4,4,3,3,3,1,2,3,2,5,E69
69,3,3,4,4,5,2,2,1,1,1,1,3,3,4,5,E70
70,3,4,3,5,5,4,4,4,4,3,1,2,4,4,5,E71
71,3,3,4,3,5,4,4,2,2,3,1,3,3,2,5,E72
72,4,3,5,5,5,3,3,3,3,3,1,3,3,2,5,E73
73,4,5,2,1,5,4,4,5,5,3,1,1,4,4,5,E74
74,3,4,3,5,5,3,3,2,2,1,1,2,3,2,5,E75
75,3,3,4,4,5,4,4,3,3,3,1,3,4,4,5,E76
76,4,3,4,4,5,4,4,2,2,2,1,3,4,2,5,E77
77,3,3,4,2,5,3,3,2,2,2,1,3,4,2,5,E78
78,3,5,2,3,5,5,5,5,5,4,1,1,3,4,5,E79
79,5,4,5,5,5,3,3,4,4,3,1,2,4,2,5,E80
80,3,3,3,3,5,2,2,1,1,3,1,3,3,5,5,E81
81,3,5,2,4,5,4,4,4,4,2,1,1,5,1,1,E82
82,3,2,3,5,5,3,3,3,3,1,1,4,3,4,5,E83
83,4,4,4,1,5,5,5,3,3,3,1,2,5,5,5,E84
84,3,5,1,4,5,1,1,5,5,4,1,1,5,4,5,E85
85,3,3,2,5,5,4,4,3,3,3,1,3,2,2,5,E86
86,3,4,2,2,5,2,2,5,5,4,1,2,2,2,1,E87
87,3,2,3,4,5,2,2,2,2,2,1,4,2,5,5,E88
88,3,1,5,3,5,1,1,1,1,4,1,5,2,5,5,E89
89,2,4,1,4,5,2,2,2,2,1,1,2,4,2,5,E90
90,5,5,4,1,5,5,5,5,5,1,1,1,5,5,5,E91
91,3,3,3,1,5,4,4,4,4,2,1,3,3,2,5,E92
92,3,3,3,4,5,1,1,5,5,4,1,3,3,4,5,E93
93,2,2,2,5,5,1,1,3,3,4,1,4,2,2,5,E94
94,3,2,3,3,5,5,5,4,4,1,1,4,2,4,5,E95
95,2,3,2,5,5,1,1,2,2,2,1,3,4,2,5,E96
96,3,5,1,5,5,2,2,5,5,4,1,1,5,4,5,E97
97,2,2,2,4,5,3,3,4,4,4,1,4,2,4,5,E98
98,2,2,2,5,5,2,2,1,1,3,1,4,2,1,1,E99
99,3,2,3,5,5,3,3,3,3,4,1,4,3,1,1,E100
100,2,1,3,5,5,3,3,2,2,4,1,5,2,1,1,E101
101,5,5,3,1,5,3,3,5,5,1,1,1,5,1,1,E102
102,2,1,4,3,5,2,2,3,3,4,1,5,1,1,1,E103
103,2,4,1,5,5,5,5,4,4,4,1,2,4,2,5,E104
104,2,3,2,3,5,5,5,1,1,3,1,3,4,2,5,E105
105,2,4,1,1,5,2,2,5,5,4,1,2,4,4,5,E106
106,3,3,2,5,5,5,5,3,3,2,1,3,3,1,1,E107
107,2,3,2,1,5,2,2,3,3,4,1,3,2,1,1,E108
108,2,1,5,3,5,2,2,1,1,1,1,5,1,1,1,E109
109,2,1,4,2,5,4,4,2,2,4,1,5,2,2,5,E110
110,2,3,1,5,5,3,3,4,4,2,1,3,4,1,1,E111
111,2,2,2,1,5,5,5,2,2,4,1,4,2,1,1,E112
112,5,5,4,1,5,5,5,4,4,2,1,1,5,1,1,E113
113,2,2,2,5,5,3,3,3,3,2,1,4,2,1,1,E114
114,2,2,3,5,5,5,5,4,4,4,1,4,2,1,1,E115
115,2,1,4,4,5,2,2,2,2,1,1,5,1,1,1,E116
116,2,2,2,4,5,2,2,3,3,2,1,4,2,1,1,E117
117,1,2,1,3,5,2,2,4,4,1,1,4,3,1,1,E118
118,2,4,1,3,5,2,2,5,5,4,1,2,3,1,1,E119
119,2,1,4,4,5,2,2,1,1,4,1,5,1,1,1,E120
120,1,2,1,3,5,2,2,4,4,3,1,4,2,1,1,E121
121,2,2,2,3,5,1,1,2,2,1,1,4,2,1,1,E122
122,2,1,5,4,5,2,2,1,1,4,1,5,1,1,1,E123
